"Type";"Parent";"Name";"IO-Type";"DataType";"Comment";"PIAssignment";
"KBUS";"0750-0400";"";"";"";"1-2 (Licht)";"PLC";
"KBUS";"Elm.1";"KA01_KL01_DI";"Input";"BOOL";"1: Flur OG 1 (unten) (Dach 2)";"";
"KBUS";"Elm.2";"KA01_KL02_DI";"Input";"BOOL";"2: Treppe EG 1";"";
"KBUS";"0750-0430";"";"";"";"3-10 (Licht)";"PLC";
"KBUS";"Elm.1";"KA02_KL01_DI";"Input";"BOOL";"3: Büro Tür";"";
"KBUS";"Elm.2";"KA02_KL02_DI";"Input";"BOOL";"4: Eltern Tür";"";
"KBUS";"Elm.3";"KA02_KL03_DI";"Input";"BOOL";"5: Kind Tür";"";
"KBUS";"Elm.4";"KA02_KL04_DI";"Input";"BOOL";"6: Küche Tür";"";
"KBUS";"Elm.5";"KA02_KL05_DI";"Input";"BOOL";"7: WZ Flurtür 1";"";
"KBUS";"Elm.6";"KA02_KL06_DI";"Input";"BOOL";"8: WZ Terassentür 1";"";
"KBUS";"Elm.7";"KA02_KL07_DI";"Input";"BOOL";"9: WZ Flurtür 2";"";
"KBUS";"Elm.8";"KA02_KL08_DI";"Input";"BOOL";"10: Flur Tür WZ";"";
"KBUS";"0750-0430";"";"";"";"11-18 (Rolladen)";"PLC";
"KBUS";"Elm.1";"KA03_KL01_DI";"Input";"BOOL";"11: WZ groß up";"";
"KBUS";"Elm.2";"KA03_KL02_DI";"Input";"BOOL";"12: WZ groß: down";"";
"KBUS";"Elm.3";"KA03_KL03_DI";"Input";"BOOL";"13: WZ klein up";"";
"KBUS";"Elm.4";"KA03_KL04_DI";"Input";"BOOL";"14: WZ klein down";"";
"KBUS";"Elm.5";"KA03_KL05_DI";"Input";"BOOL";"15: Kind up";"";
"KBUS";"Elm.6";"KA03_KL06_DI";"Input";"BOOL";"16: Kind down";"";
"KBUS";"Elm.7";"KA03_KL07_DI";"Input";"BOOL";"17: WZ Tür up";"";
"KBUS";"Elm.8";"KA03_KL08_DI";"Input";"BOOL";"18: WZ Tür down";"";
"KBUS";"0750-0430";"";"";"";"19-26 (Rolladen/Licht)";"PLC";
"KBUS";"Elm.1";"KA04_KL01_DI";"Input";"BOOL";"19: Eltern down";"";
"KBUS";"Elm.2";"KA04_KL02_DI";"Input";"BOOL";"20: Eltern up";"";
"KBUS";"Elm.3";"KA04_KL03_DI";"Input";"BOOL";"21: Treppe EG 2";"";
"KBUS";"Elm.4";"KA04_KL04_DI";"Input";"BOOL";"22: Haustür";"";
"KBUS";"Elm.5";"KA04_KL05_DI";"Input";"BOOL";"23: Flur OG 2 (oben) (Dach 2)";"";
"KBUS";"Elm.6";"KA04_KL06_DI";"Input";"BOOL";"24: WZ Flurtür2";"";
"KBUS";"Elm.7";"KA04_KL07_DI";"Input";"BOOL";"25: Wand WZ";"";
"KBUS";"Elm.8";"KA04_KL08_DI";"Input";"BOOL";"26: -";"";
"KBUS";"0750-0501";"";"";"";"1-2 (Licht)";"PLC";
"KBUS";"Elm.1";"KA05_KL01_DO";"Output";"BOOL";"1: Flur OG";"";
